lamp_num,generator,ranker,n,spearman_rho,p
1,flanT5Small,bm25,204,-0.35789967916682747,1.475839934756322e-07
1,flanT5Small,contriever,204,-0.3580342228957126,1.4589509981984953e-07
1,flanT5Base,bm25,928,-0.31218811743408986,1.9976706502643013e-22
1,flanT5Base,contriever,928,-0.38034266044663595,2.6046371693494415e-33
4,flanT5Small,bm25,1133,-0.2115167214804812,6.32224780645715e-13
4,flanT5Small,contriever,3332,-0.34616165792174797,2.0207394985806224e-94
4,flanT5Base,bm25,3308,-0.3990482408112272,1.0564593876662125e-126
4,flanT5Base,contriever,3308,-0.35061725067761096,2.6921910427589237e-96
