qid,lamp_num,generator_name,ranker,rerank_method,pl_alpha,pl_randmmr_lambda_low,pl_randmmr_lambda_high,expected_utility,max_utility,min_utility,avg_ild_jaccard,ee_disparity,ee_relevance,ee_difference,n_lists
3146,4,flanT5Small,bm25,pl,8,,,0.048135395936006964,0.04819276827986662,0.04761904484127,0.9216882316633708,0.964,0.22,0.931419,10
3147,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9436892650547989,1.0,0.2,0.964286,10
3148,4,flanT5Small,bm25,pl,8,,,0.007594936417240838,0.07594936417240838,0.0,0.9422419825430112,0.964,0.2,0.938722,10
3149,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9301647600229442,1.0,0.2,0.968254,10
3150,4,flanT5Small,bm25,pl,8,,,0.13793102996432832,0.13793102996432832,0.13793102996432832,0.8928492421683913,1.0,0.8,0.896104,10
3151,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9210202763402849,0.9,0.0,0.95,10
3152,4,flanT5Small,bm25,pl,8,,,0.0526315772749308,0.05263157727493079,0.05263157727493079,0.9605576447205809,1.0,0.0,1.0,10
3153,4,flanT5Small,bm25,pl,8,,,0.0077922072335976115,0.02597402411199204,0.0,0.9156408600273387,0.964,0.22,0.924392,10
3154,4,flanT5Small,bm25,pl,8,,,0.14814814331961607,0.14814814331961607,0.14814814331961607,0.9474856401737484,0.964,0.2,0.938,10
3155,4,flanT5Small,bm25,pl,8,,,0.00588235246885817,0.058823524688581694,0.0,0.9245056816984901,0.964,0.4,0.927269,10
3156,4,flanT5Small,bm25,pl,8,,,0.07142856820011353,0.07142856820011353,0.07142856820011353,0.919311188733728,0.936,0.64,0.843879,10
3157,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9560375735375736,1.0,0.0,0.999351,10
3158,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9042726850484659,1.0,0.4,0.927273,10
3159,4,flanT5Small,bm25,pl,8,,,0.08108107855003661,0.0810810785500366,0.0810810785500366,0.9125211365695238,1.0,0.2,0.975904,10
3160,4,flanT5Small,bm25,pl,8,,,0.02816901059313671,0.028169010593136715,0.028169010593136715,0.9508397631537026,0.964,0.2,0.912,10
3161,4,flanT5Small,bm25,pl,8,,,0.06896551296076128,0.06896551296076128,0.06896551296076128,0.8934194135270458,1.0,0.2,0.939394,10
