generator,ranker,det_ee_d,det_eu_norm,pl_a8_ee_d,pl_a8_eu_norm,pl_a1_ee_d,pl_a1_eu_norm,pl_a1_n,pl_a1_samples,hybrid_ee_d,hybrid_eu_norm,hybrid_n,hybrid_samples
flanT5Base,bm25,1.0,0.6798245614035088,0.9713965517241379,0.6710526315789473,0.15863793103448276,0.4583333333333333,464,10,0.22246741379310345,0.5612719298245614,232,100
flanT5Base,contriever,1.0,0.6271929824561403,0.9842844827586208,0.6317982456140352,0.15914655172413794,0.4631578947368421,464,10,0.1429393103448276,0.5417982456140351,232,100
flanT5Small,bm25,1.0,0.1935483870967742,0.9616470196078432,0.1924731182795699,0.08573413725490196,0.0935483870967742,51,30,0.1836643137254902,0.14129032258064517,51,100
flanT5Small,contriever,1.0,0.16129032258064516,0.9831372549019608,0.15967741935483873,0.15058823529411763,0.09516129032258065,102,10,0.12477176470588236,0.11838709677419354,51,100
