generator,ranker,n,old_ee_d,new_ee_d,old_eu_norm,new_eu_norm,det_eu_norm,delta_ee_d,delta_eu_norm,p_eu,sig_eu,p_eed,sig_eed
flanT5Small,bm25,51,0.17254901960784308,0.1724705882352941,0.4529411764705882,0.45098039215686275,0.5098039215686274,-7.843137254898158e-05,-0.0019607843137254277,0.9837429944165746,,0.9924392286932296,
flanT5Small,contriever,51,0.1631372549019608,0.16305882352941178,0.5058823529411764,0.5058823529411764,0.5294117647058824,-7.843137254900934e-05,0.0,1.0,,0.9911450116834959,
flanT5Base,bm25,232,0.18579310344827588,0.18589655172413797,0.5064655172413793,0.5060344827586207,0.6982758620689655,0.00010344827586208916,-0.0004310344827586077,0.989036125942597,,0.9781067535019382,
flanT5Base,contriever,232,0.17336206896551726,0.17350000000000002,0.5120689655172413,0.5103448275862069,0.646551724137931,0.00013793103448275779,-0.0017241379310344307,0.955331257671046,,0.9640843928396399,
