method,bin,mean_eu_norm
mmr,Q1,0.5282441009637022
mmr,Q2,0.5028787189197323
mmr,Q3,0.49811430071250445
mmr,Q4,0.5053417417467119
mmr,Q5,0.5211157549023777
pl,Q1,0.5067130258804488
pl,Q2,0.4722528021573922
pl,Q3,0.483566333589652
pl,Q4,0.47540345421865193
pl,Q5,0.4833299261082485
