lamp_num,generator_name,ranker,method,baseline_eu_norm,n_baseline,Q1 (least diverse)_lo,Q1 (least diverse)_hi,Q1 (least diverse)_delta,Q1 (least diverse)_n,Q1 (least diverse)_sig,Q2_lo,Q2_hi,Q2_delta,Q2_n,Q2_sig,Q3_lo,Q3_hi,Q3_delta,Q3_n,Q3_sig,Q4 (most diverse)_lo,Q4 (most diverse)_hi,Q4 (most diverse)_delta,Q4 (most diverse)_n,Q4 (most diverse)_sig
1,flanT5Base,bm25,pl,0.6810344827586207,232,0.7331072685613105,0.9668507401235535,-0.07112068965517238,232,,0.9668507401235535,0.9803912190504138,-0.08318965517241383,232,*,0.9803912190504138,0.9902922329725488,-0.12112068965517253,232,**,0.9902922329725488,1.0,-0.16465517241379313,232,**
1,flanT5Base,bm25,mmr,0.6810344827586207,232,0.7348694304123705,0.9697952161117517,0.052753913145816234,293,,0.9697952161117517,0.9835766004490852,-0.0386733716475095,288,,0.9835766004490852,0.9949017245849627,0.0017241379310345417,290,,0.9949017245849627,1.0,-0.0893389810285169,289,*
1,flanT5Base,contriever,pl,0.6422413793103449,232,0.8107823401863673,0.9627995438450937,-0.042241379310344884,232,,0.9627995438450937,0.9774502816458304,-0.06077586206896568,232,,0.9774502816458304,0.9880073725440863,-0.020689655172413834,232,,0.9880073725440863,1.0,-0.0810344827586208,232,*
1,flanT5Base,contriever,mmr,0.6422413793103449,232,0.8488435222559756,0.9693382236581136,-0.006502547695224625,291,,0.9693382236581136,0.9824080902528992,0.019827586206896508,290,,0.9824080902528992,0.9928822848729093,0.06710118124328834,289,,0.9928822848729093,1.0,-0.09396551724137936,290,*
1,flanT5Small,bm25,pl,0.45098039215686275,51,0.7490016787745377,0.962233383816282,-0.1352941176470588,51,,0.962233383816282,0.979725470305863,0.05098039215686273,51,,0.979725470305863,0.9904206135601306,0.04705882352941171,51,,0.9904206135601306,1.0,-0.07058823529411762,51,
1,flanT5Small,bm25,mmr,0.45098039215686275,51,0.9024312373668361,0.9623450936171656,-0.14328808446455504,65,,0.9623450936171656,0.9838855146838543,0.0887021475256769,63,,0.9838855146838543,0.9967734705825971,0.0021446078431372473,64,,0.9967734705825971,1.0,-0.05415499533146595,63,
1,flanT5Small,contriever,pl,0.43137254901960786,51,0.8107823401863673,0.9617070343203873,-0.0431372549019608,51,,0.9617070343203873,0.9740868139918295,-0.047058823529411764,51,,0.9740868139918295,0.9867959825146472,-0.021568627450980427,51,,0.9867959825146472,1.0,0.03529411764705881,51,
1,flanT5Small,contriever,mmr,0.43137254901960786,51,0.8657467089148702,0.9642865385238157,-0.040747549019607865,64,,0.9642865385238157,0.9782389228068682,0.03131401814457124,67,,0.9782389228068682,0.9914693283972029,0.018627450980392146,60,,0.9914693283972029,1.0,0.021752450980392135,64,
4,flanT5Base,bm25,pl,0.29079477818297667,827,0.4643290267368865,0.9688670316753187,-0.011354183418276598,827,,0.9688670316753187,0.9807224557308234,-0.028158980695815017,827,*,0.9807224557308234,0.9895607587355405,-0.035496886602637834,827,**,0.9895607587355405,1.0,-0.022360066739390838,827,
4,flanT5Base,bm25,mmr,0.29079477818297667,827,0.4643290267368865,0.9656759354916781,0.003490140570328426,1035,,0.9656759354916781,0.9793204656056221,0.020752824272648962,1034,,0.9793204656056221,0.9901298523048251,-0.00614344029420355,1032,,0.9901298523048251,1.0,-0.0045333440606911135,1034,
4,flanT5Base,contriever,pl,0.3395872501972337,827,0.5021400860815941,0.9717708893131222,-0.0016387753196969168,827,,0.9717708893131222,0.9831139896772811,-0.06002545435352952,827,**,0.9831139896772811,0.9917035464236883,-0.05661524058090617,827,**,0.9917035464236883,1.0,-0.07149873565556325,827,**
4,flanT5Base,contriever,mmr,0.3395872501972337,827,0.5196040394214033,0.9735167026194352,0.02905829054315029,1037,*,0.9735167026194352,0.9871169680882207,-0.004870065195124895,1034,,0.9871169680882207,0.9978157504510977,-0.033066095182715916,1031,*,0.9978157504510977,1.0,-0.005427057672087399,1033,
4,flanT5Small,bm25,pl,0.2968901898794616,833,0.4673088841712256,0.9730500549287456,-0.009590804437803857,833,,0.9730500549287456,0.9847253183821739,-0.021153354949057956,833,,0.9847253183821739,0.9927074432868997,-0.004876419886893579,833,,0.9927074432868997,1.0,-0.0008327059347298937,833,
4,flanT5Small,bm25,mmr,0.2968901898794616,833,0.4673088841712256,0.9686196592482341,0.00558166027685586,677,,0.9686196592482341,0.981269894126245,-0.001758671540661616,673,,0.981269894126245,0.9924702578407114,-0.00872124002198943,675,,0.9924702578407114,1.0,0.01870526399768141,674,
4,flanT5Small,contriever,pl,0.3260295864037321,833,0.5116675136480824,0.9767978755418165,-0.003716103717147201,833,,0.9767978755418165,0.9874748125011795,-0.059318510119565904,833,**,0.9874748125011795,0.9949114173893179,-0.03309930890161339,833,**,0.9949114173893179,1.0,-0.051648890124723845,833,**
4,flanT5Small,contriever,mmr,0.3260295864037321,833,0.5303600030464252,0.974862354871957,0.02786326122754723,675,,0.974862354871957,0.9889274624369632,-0.011709811792576796,675,,0.9889274624369632,0.9993653436051095,0.010819488221489815,674,,0.9993653436051095,1.0,-0.047322443606950315,675,**
