lamp_num,baseline_eu_norm,n_baseline,Q1 (least diverse)_lo,Q1 (least diverse)_hi,Q1 (least diverse)_delta,Q1 (least diverse)_n,Q1 (least diverse)_sig,Q2_lo,Q2_hi,Q2_delta,Q2_n,Q2_sig,Q3_lo,Q3_hi,Q3_delta,Q3_n,Q3_sig,Q4 (most diverse)_lo,Q4 (most diverse)_hi,Q4 (most diverse)_delta,Q4 (most diverse)_n,Q4 (most diverse)_sig
1,0.6255060728744939,988,0.7145822112926778,0.9515611781575026,0.021359291976482453,2919,,0.9515611781575026,0.9687562816355799,-0.059421199500092836,2922,**,0.9687562816355799,0.9818886064711616,-0.07572921053326487,2913,**,0.9818886064711616,1.0,-0.057548567733986755,2918,**
2,0.2075187969924812,1330,0.9214407455352801,0.9702781383351755,-0.01099370046738471,3108,,0.9702781383351755,0.9813251261454807,-0.011941004868530253,3098,,0.9813251261454807,0.9916123316357115,0.029447567819937903,3092,*,0.9916123316357115,1.0,0.06770730119873325,3096,**
3,0.8909597257926307,2334,0.0,0.9312643971422321,0.014478326472832648,5319,**,0.9312643971422321,0.9564760429340202,-0.004995390829612201,5318,,0.9564760429340202,0.9759464795103309,-0.007026342324560342,5319,,0.9759464795103309,1.0,-0.005749120301844712,5318,
4,0.3097054955432065,5166,0.4492269995341478,0.9628587804038852,0.010639122230938602,13286,*,0.9628587804038852,0.977474837217961,-0.021289884944452664,13277,**,0.977474837217961,0.9892976922568376,-0.02994577677447241,13284,**,0.9892976922568376,1.0,-0.024734829439824635,13279,**
5,0.5022933209247701,3484,0.4077319294764302,0.9439755848503226,-0.007347850596677141,7492,,0.9439755848503226,0.9680248015330437,0.0008177437295311396,7493,,0.9680248015330437,0.9854857572990123,0.012028472526292688,7491,,0.9854857572990123,1.0,-0.015519372571572265,7492,*
6,0.4278423915100922,3386,0.01685317364594208,0.7957046058163793,2.942773828784606e-05,7363,,0.7957046058163793,0.9168370395736122,-0.0468142988198989,7358,**,0.9168370395736122,0.9694102578560093,-0.025984808958091077,7357,**,0.9694102578560093,1.0,0.009767152972415039,7360,
7,0.5846661801890953,1552,0.0,0.969337281716475,0.01205881941371667,3333,,0.969337281716475,0.981881023730462,0.0012550627285075056,3332,,0.981881023730462,0.9929128344658948,-0.015399868181610321,3333,,0.9929128344658948,1.0,-0.00949259089643284,3332,
