lamp_num,generator_name,ranker,method,baseline_eu_norm,n_baseline,Q1_lo,Q1_hi,Q1_delta,Q1_n,Q1_sig,Q2_lo,Q2_hi,Q2_delta,Q2_n,Q2_sig,Q3_lo,Q3_hi,Q3_delta,Q3_n,Q3_sig,Q4_lo,Q4_hi,Q4_delta,Q4_n,Q4_sig
1,flanT5Small,bm25,pl,0.45098039215686275,51,-1e-09,0.9547539129892273,-0.15887512899896805,38,,0.9547539129892273,0.9796671199584241,0.02714460784313727,64,,0.9796671199584241,0.9915697161335959,0.05065895210543231,61,,0.9915697161335959,1.000000001,-0.10463892874222863,41,
1,flanT5Small,bm25,mmr,0.45098039215686275,51,-1e-09,0.9547184849296675,-0.17598039215686273,40,,0.9547184849296675,0.9770866036668914,0.040247678018575817,57,,0.9770866036668914,0.9915243971549463,-0.003611971104231171,76,,0.9915243971549463,1.000000001,-0.024151123864179835,82,
1,flanT5Small,contriever,pl,0.43137254901960786,51,-1e-09,0.9547539129892273,-0.0950089126559715,33,,0.9547539129892273,0.9796671199584241,-0.03923771755893363,89,,0.9796671199584241,0.9915697161335959,0.03321078431372548,48,,0.9915697161335959,1.000000001,0.033333333333333326,34,
1,flanT5Small,contriever,mmr,0.43137254901960786,51,-1e-09,0.9547184849296675,-0.16821465428276577,38,,0.9547184849296675,0.9770866036668914,0.07999108734402849,88,,0.9770866036668914,0.9915243971549463,-0.01346210125841385,67,,0.9915243971549463,1.000000001,0.036369386464263076,62,
1,flanT5Base,bm25,pl,0.6810344827586207,232,-1e-09,0.9547539129892273,-0.03723282986605858,121,,0.9547539129892273,0.9796671199584241,-0.0898490724242742,329,*,0.9796671199584241,0.9915697161335959,-0.12909101986109417,283,**,0.9915697161335959,1.000000001,-0.1615473032714413,195,**
1,flanT5Base,bm25,mmr,0.6810344827586207,232,-1e-09,0.9547184849296675,0.030076628352490475,135,,0.9547184849296675,0.9770866036668914,0.03691423519009729,312,,0.9770866036668914,0.9915243971549463,-0.040683605565638215,342,,0.9915243971549463,1.000000001,-0.061088391114415774,371,
1,flanT5Base,contriever,pl,0.6422413793103449,232,-1e-09,0.9547539129892273,-0.010991379310344884,160,,0.9547539129892273,0.9796671199584241,-0.06320455211487741,353,,0.9796671199584241,0.9915697161335959,-0.024094661163626685,259,,0.9915697161335959,1.000000001,-0.11019009725906281,156,*
1,flanT5Base,contriever,mmr,0.6422413793103449,232,-1e-09,0.9547184849296675,0.03255536865713482,123,,0.9547184849296675,0.9770866036668914,-0.0028474399164054587,330,,0.9770866036668914,0.9915243971549463,0.02788849081952527,385,,0.9915243971549463,1.000000001,-0.055284857571214374,322,
2,flanT5Small,bm25,pl,0.3333333333333333,192,-1e-09,0.9547539129892273,-0.1583333333333333,12,,0.9547539129892273,0.9796671199584241,-0.0317204301075269,248,,0.9796671199584241,0.9915697161335959,-0.03731884057971013,276,,0.9915697161335959,1.000000001,0.10502873563218396,232,*
2,flanT5Small,bm25,mmr,0.3333333333333333,192,-1e-09,0.9547184849296675,-0.16666666666666666,24,,0.9547184849296675,0.9770866036668914,-0.09360730593607305,292,*,0.9770866036668914,0.9915243971549463,0.04213135068153656,269,,0.9915243971549463,1.000000001,0.06980802792321117,191,
2,flanT5Small,contriever,pl,0.375,192,-1e-09,0.9547539129892273,-0.375,2,,0.9547539129892273,0.9796671199584241,-0.005693069306930643,101,,0.9796671199584241,0.9915697161335959,-0.020454545454545503,264,,0.9915697161335959,1.000000001,0.012780548628428923,401,
2,flanT5Small,contriever,mmr,0.375,192,-1e-09,0.9547184849296675,-0.375,3,,0.9547184849296675,0.9770866036668914,-0.05681818181818182,88,,0.9770866036668914,0.9915243971549463,-0.05282426778242677,239,,0.9915243971549463,1.000000001,0.03082959641255606,446,
2,flanT5Base,bm25,pl,0.3,280,-1e-09,0.9547539129892273,-0.024242424242424176,33,,0.9547539129892273,0.9796671199584241,0.01734693877551019,392,,0.9796671199584241,0.9915697161335959,-0.016904761904761922,420,,0.9915697161335959,1.000000001,0.08218181818181824,275,*
