lamp_num,generator,ranker,det_mean_ild,"[.0,.2)_mean_ild","[.0,.2)_n","[.2,.4)_mean_ild","[.2,.4)_n","[.4,.6)_mean_ild","[.4,.6)_n","[.6,.8)_mean_ild","[.6,.8)_n","[.8,1.0]_mean_ild","[.8,1.0]_n"
1,flanT5Base,bm25,0.8741694571487323,0.8922260977175344,364,0.8872503686938997,115,0.8803746139351738,42,0.8798424103647648,108,0.8726438594722593,299
1,flanT5Base,contriever,0.8696264268524815,0.8918492728971502,391,0.886370976884179,75,0.8817740682539313,65,0.8696573389406933,136,0.8684053964123394,261
1,flanT5Small,bm25,0.8754961352482968,0.8947584395145928,102,0.9082994457372777,1,0.8859417154015388,12,0.8844055633703576,27,0.8717977911847291,62
1,flanT5Small,contriever,0.8725512714724791,0.8942638534065642,94,0.8925909640596047,9,0.8821860369792166,15,0.876073098004906,30,0.8697633997642598,56
4,flanT5Base,bm25,0.9111436102153014,0.9430396085695193,1050,0.9227246370045953,376,0.9148180043383292,348,0.9202681341913326,486,0.9116529282193357,1048
4,flanT5Base,contriever,0.9143074796478889,0.945262433365028,1088,0.9247944540341879,330,0.9148071833664053,406,0.9244649071692919,467,0.9139412633327255,1017
4,flanT5Small,bm25,0.9106753134724355,0.9407928448590196,142,0.9303347552786402,47,0.9241826846790668,35,0.9148541129106834,71,0.9111958491182686,838
4,flanT5Small,contriever,0.9141000550687824,0.9450740669122789,1117,0.9237233019478921,329,0.9125680462417359,404,0.926691333419255,452,0.91377735155778,1030
