rerank_method,setting,mean_ild,mean_delta_eu
pl,pl_a8,0.9283664990962964,0.0006867411681354685
pl,pl_a4,0.9358464594055106,6.024623296605509e-05
pl,pl_a2,0.9660829130060471,-0.031125478552422876
pl,pl_a1,0.9744813542531477,-0.041253170608151216
mmr,mmr_l0.85,0.9377476194114908,0.0005435110114003038
mmr,mmr_l0.7,0.9451279906198572,-0.011058340377038872
mmr,mmr_l0.55,0.9597142942132261,-0.0013533232031075185
mmr,mmr_l0.45,0.9711485564362015,-0.003929347923878753
mmr,mmr_l0.3,0.9859873976874445,-0.014543531736039545
