lamp_num,granularity,cutoff,approach,baseline_eu_norm,n_baseline,generator_name,ranker,cutoff_ild_norm,selected_setting,self_membership_frac,n,delta_eu_norm,p_value,sig
1,gen_x_ranker,bottom25,approach_a,0.6919642857142857,224,flanT5Base,bm25,0.9520836940867111,pl_a8,0.40625,448,-0.008928571428571397,0.8123859554343122,
1,gen_x_ranker,bottom25,approach_b,0.6919642857142857,224,flanT5Base,bm25,0.9520836940867111,,,787,0.008162779088763839,0.8119546794994624,
1,gen_x_ranker,bottom50,approach_a,0.6919642857142857,224,flanT5Base,bm25,0.9687217022307828,pl_a4,0.6651785714285714,448,-0.04598214285714286,0.2053562630807201,
1,gen_x_ranker,bottom50,approach_b,0.6919642857142857,224,flanT5Base,bm25,0.9687217022307828,,,1568,-0.03890306122448983,0.23515465602222635,
1,gen_x_ranker,bottom25,approach_a,0.6383928571428571,224,flanT5Base,contriever,0.9500532598574083,pl_a8,0.46205357142857145,448,0.004687500000000067,0.9046399921845837,
1,gen_x_ranker,bottom25,approach_b,0.6383928571428571,224,flanT5Base,contriever,0.9500532598574083,,,784,0.009183673469387865,0.797319176560939,
1,gen_x_ranker,bottom50,approach_a,0.6383928571428571,224,flanT5Base,contriever,0.9675916264267788,pl_a4,0.7254464285714286,448,0.016071428571428736,0.6676559483115426,
1,gen_x_ranker,bottom50,approach_b,0.6383928571428571,224,flanT5Base,contriever,0.9675916264267788,,,1569,-0.028067809341709826,0.40988111556249307,
1,gen_x_ranker,bottom25,approach_a,0.2608695652173913,23,flanT5Small,bm25,0.9621720530541447,pl_a8,0.43478260869565216,46,0.0,1.0,
1,gen_x_ranker,bottom25,approach_b,0.2608695652173913,23,flanT5Small,bm25,0.9621720530541447,,,81,-0.11519055287171229,0.26365807894332016,
1,gen_x_ranker,bottom50,approach_a,0.2608695652173913,23,flanT5Small,bm25,0.9726710974409358,pl_a4,0.6956521739130435,46,0.0,1.0,
1,gen_x_ranker,bottom50,approach_b,0.2608695652173913,23,flanT5Small,bm25,0.9726710974409358,,,161,-0.057142857142857106,0.5654131221008046,
1,gen_x_ranker,bottom25,approach_a,0.21739130434782608,23,flanT5Small,contriever,0.9459531200507154,pl_a8,0.5,46,-0.0021739130434782483,0.9838797352577098,
1,gen_x_ranker,bottom25,approach_b,0.21739130434782608,23,flanT5Small,contriever,0.9459531200507154,,,82,0.009437963944856853,0.9240926383689968,
