lamp_num,generator_name,ranker,setting,mean,count
1,flanT5Base,bm25,det,0.6810344827586207,232
1,flanT5Base,bm25,mmr_l0.15,0.646551724137931,232
1,flanT5Base,bm25,mmr_l0.3,0.646551724137931,232
1,flanT5Base,bm25,mmr_l0.45,0.6594827586206896,232
1,flanT5Base,bm25,mmr_l0.55,0.6594827586206896,232
1,flanT5Base,bm25,mmr_l0.7,0.6724137931034483,232
1,flanT5Base,bm25,mmr_l0.85,0.6767241379310345,232
1,flanT5Base,bm25,pl_a1,0.46594827586206894,232
1,flanT5Base,bm25,pl_a2,0.509051724137931,232
1,flanT5Base,bm25,pl_a4,0.634051724137931,232
1,flanT5Base,bm25,pl_a8,0.6749999999999999,232
1,flanT5Base,contriever,det,0.6422413793103449,232
1,flanT5Base,contriever,mmr_l0.15,0.6379310344827587,232
1,flanT5Base,contriever,mmr_l0.3,0.625,232
1,flanT5Base,contriever,mmr_l0.45,0.6293103448275862,232
1,flanT5Base,contriever,mmr_l0.55,0.6508620689655172,232
1,flanT5Base,contriever,mmr_l0.7,0.646551724137931,232
1,flanT5Base,contriever,mmr_l0.85,0.6422413793103449,232
1,flanT5Base,contriever,pl_a1,0.4978448275862069,232
1,flanT5Base,contriever,pl_a2,0.555603448275862,232
1,flanT5Base,contriever,pl_a4,0.664655172413793,232
1,flanT5Base,contriever,pl_a8,0.6461206896551724,232
1,flanT5Small,bm25,det,0.45098039215686275,51
1,flanT5Small,bm25,mmr_l0.15,0.4117647058823529,51
1,flanT5Small,bm25,mmr_l0.3,0.43137254901960786,51
1,flanT5Small,bm25,mmr_l0.45,0.4117647058823529,51
1,flanT5Small,bm25,mmr_l0.55,0.4117647058823529,51
1,flanT5Small,bm25,mmr_l0.7,0.4117647058823529,51
1,flanT5Small,bm25,mmr_l0.85,0.45098039215686275,51
1,flanT5Small,bm25,pl_a1,0.39215686274509803,51
1,flanT5Small,bm25,pl_a2,0.4019607843137255,51
1,flanT5Small,bm25,pl_a4,0.45098039215686275,51
1,flanT5Small,bm25,pl_a8,0.45098039215686275,51
1,flanT5Small,contriever,det,0.43137254901960786,51
1,flanT5Small,contriever,mmr_l0.15,0.43137254901960786,51
1,flanT5Small,contriever,mmr_l0.3,0.45098039215686275,51
1,flanT5Small,contriever,mmr_l0.45,0.43137254901960786,51
1,flanT5Small,contriever,mmr_l0.55,0.43137254901960786,51
1,flanT5Small,contriever,mmr_l0.7,0.43137254901960786,51
1,flanT5Small,contriever,mmr_l0.85,0.45098039215686275,51
1,flanT5Small,contriever,pl_a1,0.39215686274509803,51
1,flanT5Small,contriever,pl_a2,0.38823529411764707,51
1,flanT5Small,contriever,pl_a4,0.4392156862745098,51
1,flanT5Small,contriever,pl_a8,0.4294117647058823,51
2,flanT5Base,bm25,det,0.3,280
2,flanT5Base,bm25,mmr_l0.15,0.32142857142857145,280
2,flanT5Base,bm25,mmr_l0.3,0.31785714285714284,280
2,flanT5Base,bm25,mmr_l0.45,0.30714285714285716,280
2,flanT5Base,bm25,mmr_l0.55,0.2892857142857143,280
