lamp_num,generator,ranker,view,bin,n,delta,p,sig
4,flanT5Base,bm25,EE-D interval,"[.4,.6)",348,0.021647820088306735,0.16370991272380994,
4,flanT5Base,bm25,EE-D interval,"[.6,.8)",486,0.0020177611070137935,0.8953117184975289,
4,flanT5Base,bm25,EE-D interval,"[.8,1.0]",1048,0.0011414078525146532,0.9319605645429069,
4,flanT5Base,bm25,ILD quartile,Q1,827,0.03625885174482035,0.006605933273959914,**
4,flanT5Base,bm25,ILD quartile,Q2,827,-0.016457883459443212,0.21402140334977915,
4,flanT5Base,bm25,ILD quartile,Q3,827,-0.04498836359085212,0.00024508007065748795,**
4,flanT5Base,bm25,ILD quartile,Q4,827,-0.07218272215064528,3.113808530561942e-09,**
4,flanT5Base,contriever,EE-D interval,"[.0,.2)",1088,-0.129363591842245,1.5964797548566956e-27,**
4,flanT5Base,contriever,EE-D interval,"[.2,.4)",330,-0.04224124011836622,0.004137935034149408,**
4,flanT5Base,contriever,EE-D interval,"[.4,.6)",406,0.00048175228075880705,0.9757413707529647,
4,flanT5Base,contriever,EE-D interval,"[.6,.8)",467,-0.012088527861678855,0.4447726283712312,
4,flanT5Base,contriever,EE-D interval,"[.8,1.0]",1017,0.0031370422433831813,0.8268291116838029,
4,flanT5Base,contriever,ILD quartile,Q1,827,0.01076913500515747,0.43876644556923555,
4,flanT5Base,contriever,ILD quartile,Q2,827,-0.020954737071352814,0.13150461916247555,
4,flanT5Base,contriever,ILD quartile,Q3,827,-0.06895994728186872,1.4048487550079658e-07,**
4,flanT5Base,contriever,ILD quartile,Q4,827,-0.11063265656163204,7.1666419541484e-17,**
