lamp_num,generator,n_queries,avg_candidates,avg_useful,pct_useful
1,flanT5Small,51,123.50980392156863,9.07843137254902,9.534338614214027
2,flanT5Small,192,52.807291666666664,7.979166666666667,22.52717236369441
3,flanT5Small,311,189.81993569131834,65.88424437299035,34.27601798539538
4,flanT5Small,833,192.1920768307323,40.716686674669866,27.095549921162938
5,flanT5Small,826,106.06295399515739,26.18401937046005,24.832608648036867
6,flanT5Small,760,85.99736842105263,27.778947368421054,35.92185972382662
7,flanT5Small,365,19.361643835616437,8.232876712328768,45.47703719880538
1,flanT5Base,232,102.86206896551724,20.06896551724138,22.48621957934342
2,flanT5Base,280,45.575,10.446428571428571,29.872554876634272
3,flanT5Base,378,185.31746031746033,73.82275132275132,41.19272409425543
4,flanT5Base,827,186.98186215235793,49.794437726723096,31.56630122606804
5,flanT5Base,759,105.6231884057971,26.085638998682477,25.70933120705503
6,flanT5Base,783,86.17624521072797,30.114942528735632,38.64513876119104
7,flanT5Base,211,21.72037914691943,6.957345971563981,33.01837035382632
