lamp_num,generator_name,ranker,mmr_setting,mmr_delta,n_pl_beaten
5,flanT5Small,bm25,mmr_l0.85,-0.002233054282703817,3
5,flanT5Small,contriever,mmr_l0.3,-0.0008894186690069361,4
5,flanT5Small,contriever,mmr_l0.45,-0.016025530555434764,2
5,flanT5Small,contriever,mmr_l0.55,-0.00416480113676071,3
5,flanT5Small,contriever,mmr_l0.7,0.022663435794292974,4
5,flanT5Small,contriever,mmr_l0.85,-0.01178231898068638,2
6,flanT5Base,bm25,mmr_l0.3,-0.009335633915696251,3
6,flanT5Base,bm25,mmr_l0.45,-0.00917043429961062,3
6,flanT5Base,bm25,mmr_l0.55,-0.0056131869097460485,4
6,flanT5Base,bm25,mmr_l0.7,-0.003386433946375389,4
6,flanT5Base,bm25,mmr_l0.85,-0.0036207155637082433,4
6,flanT5Base,contriever,mmr_l0.3,-0.02008186461931738,2
6,flanT5Base,contriever,mmr_l0.45,-0.006548039146725415,2
6,flanT5Base,contriever,mmr_l0.55,0.004325217890118305,4
6,flanT5Base,contriever,mmr_l0.7,-0.01032213518217101,2
6,flanT5Base,contriever,mmr_l0.85,-0.002806862168889701,3
6,flanT5Small,bm25,mmr_l0.3,-0.03245477589001572,2
6,flanT5Small,bm25,mmr_l0.45,-0.0218436256121321,2
6,flanT5Small,bm25,mmr_l0.55,-0.009445902779025905,2
6,flanT5Small,bm25,mmr_l0.7,0.019823523930345588,4
6,flanT5Small,bm25,mmr_l0.85,0.0018922278810481474,4
6,flanT5Small,contriever,mmr_l0.3,-0.05685775732850823,0
6,flanT5Small,contriever,mmr_l0.45,0.01751796747368184,4
6,flanT5Small,contriever,mmr_l0.55,0.018042275502145377,4
6,flanT5Small,contriever,mmr_l0.7,-0.04649843993873004,1
6,flanT5Small,contriever,mmr_l0.85,0.008166307188088362,4
7,flanT5Base,bm25,mmr_l0.3,-0.03429243343101729,0
7,flanT5Base,bm25,mmr_l0.45,-0.024615914751693557,0
7,flanT5Base,bm25,mmr_l0.55,-0.010514292327837405,3
7,flanT5Base,bm25,mmr_l0.7,-0.00041708219388481016,4
7,flanT5Base,bm25,mmr_l0.85,-0.010451824042544744,3
7,flanT5Base,contriever,mmr_l0.3,0.004277218633148117,2
7,flanT5Base,contriever,mmr_l0.45,-0.006056357430382686,0
7,flanT5Base,contriever,mmr_l0.55,-0.008700518865900175,0
7,flanT5Base,contriever,mmr_l0.7,-0.007501236658430943,0
7,flanT5Base,contriever,mmr_l0.85,-0.0018331631090443556,0
7,flanT5Small,bm25,mmr_l0.3,-0.020977528549143365,0
7,flanT5Small,bm25,mmr_l0.45,-0.025802759753504323,0
7,flanT5Small,bm25,mmr_l0.55,-0.019238030012409313,0
7,flanT5Small,bm25,mmr_l0.7,-0.009527824426465492,0
7,flanT5Small,bm25,mmr_l0.85,-0.010032607247573044,0
7,flanT5Small,contriever,mmr_l0.3,-0.04542599102505296,0
7,flanT5Small,contriever,mmr_l0.45,-0.02150576516002123,0
7,flanT5Small,contriever,mmr_l0.55,-0.011468401418729401,0
7,flanT5Small,contriever,mmr_l0.7,-0.021877121080421946,0
7,flanT5Small,contriever,mmr_l0.85,-0.007813101322479032,0
