lamp_num,gen,ranker,bin,n_obs,n_unique_qids,pl_delta,p,cell_mean_det_relevant_frac,bin_mean_det_relevant_frac,bin_mean_pl_relevant_frac,cell_mean_det_eu_norm,bin_mean_det_eu_norm,n_mmr_qids,mmr_delta_same_qids
1,Small,Contr.,"[.6,.8)",17,17,0.1441176470588235,0.1928147718712827,0.23529411764705882,0.34117647058823536,0.3258823529411765,0.14705882352941177,0.29411764705882354,17,0.011764705882352955
1,Base,Contr.,"[.6,.8)",132,132,0.05399906141056576,0.2513297865976708,0.37155172413793097,0.38181818181818183,0.37530303030303036,0.6327433628318584,0.6742424242424242,132,-0.016666666666666607
1,Small,BM25,"[.6,.8)",17,16,0.02941176470588233,0.7905229042198559,0.23529411764705882,0.36250000000000004,0.32980392156862753,0.17647058823529413,0.1875,16,-0.0625
4,Base,BM25,"[.4,.6)",347,281,0.020980717054143394,0.17278872405853404,0.3555018137847642,0.3893238434163701,0.39452449567723336,0.2899361762195178,0.32020553094831816,281,0.007295872431157702
4,Small,Contr.,"[.6,.8)",450,409,0.019116479316988677,0.18602137280423026,0.36134453781512604,0.35501222493887535,0.37706666666666666,0.3260295864037321,0.31979347841464145,409,0.0021162981699380246
1,Small,BM25,"[.4,.6)",7,7,0.014005602240896392,0.9282762542663534,0.23529411764705882,0.2571428571428571,0.24000000000000013,0.17647058823529413,0.2857142857142857,7,-0.057142857142857106
1,Base,Contr.,"[.8,1.0]",255,225,0.008629186187749549,0.8424936959021211,0.37155172413793097,0.3804444444444444,0.3863921568627451,0.6327433628318584,0.6311111111111111,225,-0.003555555555555534
1,Base,Contr.,"[.2,.4)",91,77,0.007366527278031665,0.8707873245986494,0.37155172413793097,0.4181818181818182,0.32439560439560444,0.6327433628318584,0.6363636363636364,77,-0.010389610389610393
4,Base,BM25,"[.6,.8)",484,443,0.0045342316528181326,0.7673621024858043,0.3555018137847642,0.35620767494356664,0.3714049586776859,0.2899361762195178,0.2811100906474331,443,0.00423606458271325
4,Small,Contr.,"[.8,1.0]",1037,827,0.002271273948346697,0.8627517457181423,0.36134453781512604,0.3603385731559855,0.37820636451301826,0.3260295864037321,0.32547030562926554,827,-0.003146684027983959
4,Base,Contr.,"[.8,1.0]",1023,820,0.0019481191223033045,0.8914489323586755,0.4340991535671101,0.4336585365853659,0.44058651026392964,0.33878771902313837,0.33778764677724643,820,-0.0035348847974132624
