lamp_num,generator_name,ranker,mmr,pl,mmr_above_pl
1,flanT5Base,bm25,-0.018103448275862057,-0.11002155172413795,True
1,flanT5Base,contriever,-0.0034482758620689945,-0.05118534482758626,True
1,flanT5Small,bm25,-0.027450980392156876,-0.02696078431372549,False
1,flanT5Small,contriever,0.007843137254901955,-0.01911764705882356,True
2,flanT5Base,bm25,0.003571428571428592,0.019196428571428573,False
2,flanT5Base,contriever,0.01928571428571426,0.016874999999999973,True
2,flanT5Small,bm25,-0.02195833333333331,0.005598958333333362,False
2,flanT5Small,contriever,-0.015749999999999997,-0.0020833333333333537,False
3,flanT5Base,bm25,-4.409171075843154e-05,0.0014715608465607488,False
3,flanT5Base,contriever,0.0040564373897707725,-0.0005676807760141012,True
3,flanT5Small,bm25,-0.013209003215434122,-0.015052250803858552,True
3,flanT5Small,contriever,-0.005949624866023617,-0.0026125401929260605,False
4,flanT5Base,bm25,0.00339618080915024,-0.02434252936403007,True
4,flanT5Base,contriever,-0.0035307121710178692,-0.04744455147742403,True
4,flanT5Small,bm25,-0.028172200376307494,-0.009113321302121294,False
4,flanT5Small,contriever,-0.013550518964703117,-0.036945703215762654,True
5,flanT5Base,bm25,0.012408047647303655,0.0006805481227409593,True
5,flanT5Base,contriever,0.0007611500227371115,-0.013971451243590893,True
5,flanT5Small,bm25,0.02437364373738038,-0.021010435342454947,True
5,flanT5Small,contriever,-0.002039726709519163,-0.03078691923594261,True
6,flanT5Base,bm25,-0.0062252809270273105,-0.04196201207009294,True
6,flanT5Base,contriever,-0.00708673664539704,-0.023954342079647625,True
6,flanT5Small,bm25,-0.008405710493955998,-0.034184613781115675,True
6,flanT5Small,contriever,-0.011925929420664538,-0.023751624548563097,True
7,flanT5Base,bm25,-0.01605830934939556,-0.012628127814625911,False
7,flanT5Base,contriever,-0.003962811486122009,0.004250902356120495,False
7,flanT5Small,bm25,-0.017115749997819108,0.00040284708799318003,False
7,flanT5Small,contriever,-0.021618076001340913,-0.002201113128708243,False
