generator,ranker,pl_ee_d_n100,pl_eu_norm_n10,randmmr_orig_ee_d_n100,randmmr_orig_eu_norm_n10,randmmr_mmrscore_ee_d_n100,randmmr_mmrscore_eu_norm_n10,delta_eu_orig_vs_pl,delta_eu_mmrscore_vs_pl,delta_eu_mmrscore_vs_orig,p_mmrscore_vs_orig,n_new,n_orig,n_pl
flanT5Base,bm25,0.1148977586206896,0.509051724137931,0.0992441379310344,0.4896551724137931,0.1002994827586206,0.49008620689655175,-0.0193965517241379,-0.018965517241379237,0.0004310344827586632,0.9890372204856774,232,232,232
flanT5Base,contriever,0.1004346551724138,0.555603448275862,0.0881927586206896,0.507758620689655,0.0884013793103448,0.5051724137931035,-0.047844827586207006,-0.05043103448275854,-0.002586206896551535,0.9331186443580204,232,232,232
flanT5Small,bm25,0.0975035294117647,0.40196078431372556,0.0837058823529412,0.39411764705882346,0.0845215686274509,0.39215686274509803,-0.0078431372549021,-0.009803921568627527,-0.0019607843137254277,0.9834116235821901,51,51,51
flanT5Small,contriever,0.0884015686274509,0.38823529411764707,0.0771850980392156,0.4078431372549019,0.0774180392156862,0.4078431372549019,0.019607843137254832,0.019607843137254832,0.0,1.0,51,51,51
