lamp_num,ranker,generator,n_qids,paper,ours,delta_pct
1,bm25,flanT5Small,51,0.308,0.45098039215686275,46.42220524573466
1,contriever,flanT5Small,51,0.286,0.43137254901960786,50.829562594268495
1,bm25,flanT5Base,232,0.67,0.6810344827586207,1.6469377251672572
1,contriever,flanT5Base,232,0.637,0.6422413793103449,0.8228224976993487
4,bm25,flanT5Small,833,0.217,0.2968901898794613,36.81575570482088
4,contriever,flanT5Small,833,0.254,0.32602958640373203,28.358104883359065
4,bm25,flanT5Base,827,0.223,0.2907947781829769,30.401245821962732
4,contriever,flanT5Base,827,0.268,0.3395872501972341,26.711660521356006
