lamp_num,generator_name,ranker,model,baseline_utility,"[0.0,0.2)","[0.0,0.2)_n","[0.0,0.2)_sig","[0.2,0.4)","[0.2,0.4)_n","[0.2,0.4)_sig","[0.4,0.6)","[0.4,0.6)_n","[0.4,0.6)_sig","[0.6,0.8)","[0.6,0.8)_n","[0.6,0.8)_sig","[0.8,1.0)","[0.8,1.0)_n","[0.8,1.0)_sig"
1,flanT5Small,bm25,BM25+flan-T5-small,0.24,-0.118,50,,-0.20666666666666667,1,,0.026666666666666727,5,,0.029230769230769282,13,,-0.01096774193548386,31,
1,flanT5Small,contriever,Contriever+flan-T5-small,0.2,-0.06818181818181818,44,,-0.2,6,,-0.1375,8,,0.12,15,,-0.014814814814814836,27,
1,flanT5Base,bm25,BM25+flan-T5-base,0.695067264573991,-0.23434218904529014,331,*,-0.10319734587480411,123,*,-0.010067264573991097,40,,-0.08104857298520596,107,,-0.009500254264712682,291,
1,flanT5Base,contriever,Contriever+flan-T5-base,0.6412556053811659,-0.14909874263606787,357,*,-0.00014449427005469584,90,,-0.06307378719934764,55,,0.056554613596936254,137,,0.00577996774136369,253,
2,flanT5Small,bm25,BM25+flan-T5-small,0.17829457364341086,-0.07093023255813956,86,,-0.009918505267342531,39,,-0.013253923236906828,41,,0.016856941508104295,55,,-0.04125753660637385,99,
2,flanT5Small,contriever,Contriever+flan-T5-small,0.24806201550387597,-0.13806201550387595,80,*,0.005062984496124079,96,,0.02236051970739167,71,,0.046168753726893275,104,,0.015574348132487648,165,
2,flanT5Base,bm25,BM25+flan-T5-base,0.19480519480519481,-0.028896103896103892,132,,0.008170995670995662,168,,0.028434241814523503,142,,0.042151326933935584,138,,0.04095061914829354,344,
2,flanT5Base,contriever,Contriever+flan-T5-base,0.22510822510822512,-0.04877234724562968,131,,0.0003355618740234212,169,,0.007305567995223167,145,,0.05153411065819821,137,,0.05003797372218424,342,
3,flanT5Small,bm25,BM25+flan-T5-small,0.8957663451232585,-0.033778750732751384,206,*,-0.03389765825457158,33,,0.007214684687039674,41,,-0.005595404952318361,26,,-0.005606770655173232,94,
3,flanT5Small,contriever,Contriever+flan-T5-small,0.8818327974276527,-0.009233459679308442,604,,0.002542202572347274,64,,-0.009957797427652793,120,,0.009043114981106437,137,,0.00207524854935881,319,
