generator,ranker,pl_ee_d_n100,randmmr_orig_ee_d_n100,randmmr_mmrscore_ee_d_n100,n_queries
flanT5Base,bm25,0.11489775862068967,0.09924413793103447,0.10029948275862069,232
flanT5Base,contriever,0.1004346551724138,0.08819275862068965,0.08840137931034482,232
flanT5Small,bm25,0.09750352941176471,0.0837058823529412,0.08452156862745099,51
flanT5Small,contriever,0.08840156862745097,0.07718509803921568,0.07741803921568627,51
